REL,RF,NPC,PFC,WCC,,,,,,REL,RF,NPC,PFC,WCC
0.931931932,0.049449449,239853320.6,0.028297695,0.009946915,,,,,,,,,,
0.947947948,0.28541041,142584076.6,0.090554259,0.008371473,,,,,,,,,,
0.958958959,0.07474975,298333720.2,0.037568362,0.007704416,,,,,,,,,,
0.956956957,0.048748749,298333720.2,0.014281488,0.019610887,,,,,,,,,,
0.952952953,0.062587588,202534996.1,0.079930181,0.014825688,,,,,,,,,,
0.958958959,0.080980981,284571837,0.028483126,0.006141924,,,,,,,,,,
0.95995996,0.241291291,197266643.4,0.087088555,0.001483278,,,,,,,,,,
0.910910911,0.181256256,0,0.104977607,0.000957474,,,,,,,,,,
0.963963964,0.298598599,298333720.2,0.034653042,0.004556402,,,,,,,,,,
0.965965966,0.30457958,232108677.1,0.091456138,0.009975006,,,,,,,,,,
0.956956957,0.067617618,289802189.8,0.026630371,0.005556668,,,,,,,,,,
0.947947948,0.049224224,269811400.3,0.032168956,0.004954094,,,,,,,,,,
0.937937938,0.104554555,131263085.2,0.083520245,0.005544705,,,,,,,,,,
0.963963964,0.31996997,215644291.3,0.106612939,0,,,,,,,,,,
0.951951952,0.05045045,262574503.8,0.087932753,0,,,,,,,,,,
0.950950951,0.049174174,277628200,0.029629962,0.003027529,,,,,,,,,,
0.931931932,0.049399399,239853320.6,0.018312691,0.020049397,,,,,,,,,,
0.936936937,0.049324324,246880839.9,0.024936009,0.007102391,,,,,,,,,,
0.971971972,0.181206206,297424793,0.087426827,0.013140532,,,,,,,,,,
0.965965966,0.423798799,224855771.1,0.081890029,0.015503729,,,,,,,,,,
0.954954955,0.050375375,269947949.9,0.104946704,0,,,,,,,,,,
0.888888889,0.049974975,177379170.8,0.009567876,0.021205189,,,,,,,,,,
0.963963964,0.309309309,287975539.7,0.035420961,0.004316662,,,,,,,,,,
0.968968969,0.921596597,289802189.8,0.059118546,0.00998533,,,,,,,,,,
0.921921922,0.052127127,99129722.74,0.0944159,0,,,,,,,,,,
0.940940941,0.19004004,132945544.5,0.075910419,0.015018325,,,,,,,,,,
0.958958959,0.048623624,351134802.9,0.027069017,0.011126874,,,,,,,,,,
0.942942943,0.112437437,160499078.4,0.083996476,0.006226234,,,,,,,,,,
0.803803804,0.062962963,0,0.079510784,0.004036197,,,,,,,,,,
0.931931932,0.049449449,239853320.6,0.030644888,0.00470226,,,,,,,,,,
0.957957958,0.081131131,284571837,0.02279576,0.009166492,,,,,,,,,,
0.884884885,0.049974975,175865770.2,0.012445698,0.018951297,,,,,,,,,,
0.938938939,0.448573574,98528890.87,0.101128213,0,,,,,,,,,,
0.968968969,0.800750751,289167918.9,0.031290367,0.018828406,,,,,,,,,,
0.940940941,0.318268268,109590274.6,0.097178273,0.00059035,,,,,,,,,,
0.934934935,0.463513514,77959843.77,0.093198579,0.004507386,,,,,,,,,,
0.957957958,0.064289289,302429407.3,0.02835026,0.004530152,,,,,,,,,,
0.937937938,0.104554555,131263085.2,0.095648131,0,,,,,,,,,,
0.920920921,0.049774775,216219819.3,0.047141616,0.001933773,,,,,,,,,,
0.947947948,0.049199199,269353185.6,0.016643553,0.017942274,,,,,,,,,,
0.92992993,0.049499499,237135784.8,0.028160252,0.004803641,,,,,,,,,,
0.962962963,0.179029029,232438768.8,0.07763846,0.014759905,,,,,,,,,,
0.958958959,0.048773774,340987064.3,0.013848212,0.021207328,,,,,,,,,,
0.936936937,0.051476476,149493880.8,0.092322992,0.003559814,,,,,,,,,,
0.912912913,0.33526026,0,0.099658117,0.004226432,,,,,,,,,,
0.958958959,0.192742743,191656060.4,0.088520541,0.000694811,,,,,,,,,,
0.952952953,0.053053053,279657684.6,0.007111316,0.021207328,,,,,,,,,,
0.956956957,0.059884885,295536334.3,0.030466319,0.003208738,,,,,,,,,,
0.937937938,0.151101101,106656212.9,0.105993956,0,,,,,,,,,,
0.915915916,0.903253253,0,0.095983592,0.013399713,,,,,,,,,,
0.886886887,0.049974975,175361468.1,0.022543591,0.013798864,,,,,,,,,,
0.957957958,0.073423423,289802189.8,0.012444976,0.02241613,,,,,,,,,,
0.952952953,0.053053053,279657684.6,0.019471995,0.014877767,,,,,,,,,,
